Disease,Description
Athlete's Foot,"An athlete's foot is a fungal infection of the skin on the feet. Almost one in four people may develop an athlete's foot at some point in life, making it very common."
Amoebiasis,"Amoebiasis, also known as amoebic dysentery, is an infection that affects the intestines. It is caused by a parasite calledE. histolytica."
Anthrax,"Anthrax, also known as Wool Sorter's Disease or Malignant pustule is a highly fatal infectious illness usually found in animals, including goats, cattle, sheep, and horses. The bacterium Bacillus anthracis causes it, and there's no evidence that anthrax is transmitted from person to person. The risk of spreading anthrax skin lesions remains via direct touch or contact with contaminated material."
Aortic Valve Disease,"InAortic Stenosis(AS) or Aortic regurgitation, the aortic valve doesn’t open or close completely, restricting the flow of blood from the left ventricle of the heart to the aorta and the rest of the body or leakage of blood back into the left ventricle. Aortic valve is present between the left ventricle of heart and aorta (the largest artery in the body). The main function of the aortic valve is to open and close and allow blood to flow from the left ventricle to the aorta through which oxygen-rich blood is supplied to the entire body and the coronary arteries."
Anal Fissure,"Anal Fissure is a small tear or crack in the lining of the anus, usually caused by passing hard or large stools."
Alzheimer's Disease,"Alzheimer's disease (AD), a slowly advancing brain condition, results in memory loss. Its traits include disruptions in thinking, language, perception, and remembering, and eventually, it undermines a person's capacity to perform regular daily tasks. Alzheimer's disease does not usually manifest in old age and is not a normal consequence of aging. However, as people age, there is a significant rise in the chance ofAlzheimer's disease."
Acromegaly,"Acromegaly is a hormonal disorder that occurs when the pituitary gland produces a high amount of hormone in the body during adulthood. Acromegaly affects the bones and tissues, causing them to develop irregular patterns. Surgery, medication, and radiation therapy are the most common therapies for acromegaly."
Acute Bronchitis,"Acute Bronchitis is a short-term inflammation of the bronchial tubes, which carry air to and from the lungs. It is usually caused by a viral infection, often following a cold or flu."
Arterial Disease,"Arterial Disease refers to a group of conditions that affect the arteries, mainly causing them to become narrowed, hardened, or blocked, which reduces blood flow to organs and tissues."
Acute Appendicitis,The appendix is a tubular structure attached to the cecum just below the point where the small intestine opens in the large intestine
Bipolar Disorder,Bipolar disorder is also known as manic depression which is a kind of mental health illness that involves high emotional feelings (mania or hypomania) and lows (depression).
Bacterial Vaginosis,"The vagina naturally contains different types of bacteria. Normally, the body maintains a perfect balance between the various bacteria and works to prevent certain types of bacteria from getting out of hand. However, this subtle imbalance can lead to bacterial vaginosis (BV). Bacterial vaginosis (BV) is a vaginal infection caused by bacteria. This is the most common cause of abnormal vaginal discharge in women of childbearing age (women who are not yet menopausal). Bacterial vaginosis can cause a ""fishy"" odor and vaginal inflammation in some women. Others may have no symptoms. It is associated with poor obstetric and gynecological outcomes, including postoperative infections such as preterm birth and hysterectomy. It can make women more susceptible to sexually transmitted diseases, especially HIV. Let us look into the various symptoms of Bacterial Vaginosis, causes, risk factors, preventions, diagnosis and treatment in detail."
Blepharitis,"Blepharitis is an eyelid inflammation that causes red, inflamed, itchy eyelids as well as the production of dandruff-like scales on the eyelashes. Affecting people of various ages, it is a common eye condition with several causes. Despite being painful, bothersome, or even unsightly, Blepharitis is not contagious and does not cause chronic vision loss. Theskin issueis tough to control and recurs often. Granulated eyelids are another term for Blepharitis. Usually, Blepharitis affects patients in both eyes."
Bruxism (Teeth Grinding),"Bruxism or teeth grinding is the unconscious excessive grinding, clenching or gnashing of the teeth. It is a common behaviour that can lead to dental problems. Some people grind their teeth during sleep (sleep bruxism), while others do it when they are awake (awake bruxism). Generally, people don't realise that they are clenching their teeth during sleep."
Barrett's Esophagus,"Barrett's esophagus (BE) is a condition in which the flat pink lining of the esophagus changes and becomes more like the lining of the small intestine rather than the esophagus.

The primary reason for Barrett’s esophagus is because of chronic inflammation resulting from Gastroesophageal Reflux Disease (GERD).

Gastroesophageal reflux disease (GERD) happens when stomach acid regularly moves back into the hollow muscular tube known as esophagus. This back flow of acid reflux can irritate the lining of the esophagus. GERD frequently comes with symptoms like regurgitation or heartburn. Barrett's esophagus may develop in a few people as a result of this GERD that changes the cells lining the lower esophagus."
Bronchiectasis,"Bronchiectasis is arespiratory diseasein which the bronchial tubes get permanently damaged, swollen, and thickened. Germs and mucus build up in the lungs due to clogged airways, thus increasing the risk of respiratory infection and airway blockages. Bronchiectasis is a chronic condition that worsens over time."
Bile Duct Cancer,"Bile duct cancer is also called cholangiocarcinoma. Cancer develops within the bile duct system, a group of small tubes that transport bile fluid from the liver to the gallbladder. Cholangiocarcinoma occurs mainly in people older than 50, though it can occur at any age. Bile is discharged into the small intestine as food passes through the digestive system, which helps digestion and makes it easier for the body to absorb fats."
Benign Prostatic Hyperplasia,"When the prostate and surrounding tissues enlarge, it is known as benign prostatic hyperplasia (BPH). BPH is harmless, which indicates that neither it is cancer nor does it cause cancer. However, BPH and cancer can occur simultaneously, the first happening when the prostate doubles in size during early adolescence. As a man ages, the prostate has two major growth phases. The prostate increases in size during the first stage of puberty, and the second starts at 25 and lasts most of a man's lifetime."
Benign Tumor,Benign Tumor is a non-cancerous growth of cells that forms in the body but does not spread to other tissues or organs.
Botulism,Botulism is an uncommon but severe neurological disorder caused by toxins from the Clostridium botulinum bacterium that attack the body's nerves. It can occur as a result of contamination of food or wounds. This condition can also occur when bacterial spores grow in the infant's gut. Rarely is botulism caused by medical treatment or bioterrorism. Injecting too much botulinum toxin for cosmetic or medical reasons can also lead to this condition.
Breast Cancer,"The most common cancer in women isbreast cancerand the second leading cause of death in women, afterlung cancer.Breast cancer is defined as abnormal cell growth lining the breast lobules or ducts. These cells proliferate uncontrollably and have the potential to spread to other parts of the body. Breast cancer can affect both men and women, though men are less likely to develop it."
Burning Mouth Syndrome,"Burning Mouth Syndrome is a condition that causes a burning or scalding sensation in the mouth, often without any visible cause or obvious changes in the oral tissues."
Bladder Stones,Bladder stones are mineralized lumps in the bladder. They occur when minerals in concentrated urine crystallize and harden into stones. This is common in people who have difficulty completely emptying their bladder.
Bone Marrow Failure Syndrome,Blood cell  are made in the bone marrow and released into the peripheral bloodstream.
Burns Injury,"Burn wounds and injuries have the potential to be serious, and they should be managed by teams skilled in handling children who have endured trauma of this nature. Children with burns can typically be treated as outpatients. Normally, superficial burns recover in 10 days without leaving any scars. Burns that have not healed after 10 days may need to be evaluated by a burns specialist or service to determine whether surgery is necessary and whether there is a chance of scarring."
Chlamydia Infection,"Chlamydia is a sexually transmitted infection (STI) caused by a bacteria called Chlamydia trachomatis (C. trachomatis). Once the person is infected, they can spread chlamydia to their partners through intercourse, anal sex, or oral sex. Infections can also occur when partners share sex toys that have been contaminated with chlamydia bacteria. According to estimates, 40 to 96 per cent of those with chlamydia have no symptoms. Chlamydia, on the other hand, can potentially produce health problems in the future."
Crohn's Disease,"Crohn�s Disease is a chronic inflammatory bowel disease (IBD) that causes inflammation anywhere in the digestive tract, most commonly the small intestine and colon."
Cystic Fibrosis,"The pancreas, liver, kidneys, and intestines are all affected by cystic fibrosis (CF), a genetic condition. A buildup of thick, sticky mucus in the organs usually causes this condition. Cystic fibrosis affects the cells that produce sweat, mucus, and digestive enzymes. These secretions are normally smooth and silky. They protect numerous organs and tissues from being excessively dry or diseased by lubricating them."
Cystitis,"Cystitis is inflammation of the bladder, which can cause symptoms such as itchiness, redness, or swelling in the affected area. A urinary tract infection is the most common cause of cystitis."
Chronic Obstructive Pulmonary Disease,"Get a second opinion from trusted experts and makeconfident, informed decisions."
Cirrhosis,"Cirrhosis is a late-stage liver disease in which healthy liver tissue is gradually replaced by scar tissue, leading to reduced liver function."
Carpal Tunnel Syndrome,"Carpal tunnel syndrome (CTS) is a medical condition involving squeezing or compression of the median nerve in the carpal tunnel on the palm side of the hand. The median nerve is one of the primary nerves of the hand. Excessive strain or pressure on it causes symptoms such as numbness, tingling, pain, and weakness in the hand. It can occur in both hands, and genetics is considered the leading risk factor for this disease."
Cervical Spondylosis,"Cervical Spondylosis is a degenerative condition of the cervical spine (neck region) caused by age-related wear and tear of the vertebrae, discs, and joints."
Celiac Disease,"Celiac disease is an autoimmune disorder that is induced by gluten consumption. Celiac sprue, nontropical sprue, and gluten-sensitive enteropathy are the other names for this condition. When someone with celiac disease consumes gluten, their body reacts badly to the protein, causing damage to their villi, which are small finger-like projections along the wall of their small intestine."
Common Cold,"The common cold is a viral infection that affects the upper respiratory tract, primarily the nose and throat. It is one of the most widespread illnesses, with adults experiencing 2-3 colds annually on average."
Cardiomyopathy,Cardiomyopathy is a condition that affects the heart muscle and makes it more difficult for the heart to pump blood to other organs of the body. Heart failure and othercardiovascular conditionscan be caused by cardiomyopathy.
Cholera,"Cholera is an infectious disease that causes severe watery diarrhoea, leading to dehydration and even fatality, if left untreated. The cholera bacterium is often found in water or food items contaminated by faeces from people infected with cholera germs. Cholera is most prone to occur and spread in areas with poor water treatment, sanitation, and hygiene. Cholera bacteria can also be found in brackish rivers and coastal waterways. Raw shellfish have been found as a source of infection."
Cataract,A cataract is a clouding of the natural lens of the eye. This clouding of the eye prevents light rays from entering the lens and focusing on the retina. The retina is a light-sensitive tissue lining of the eye and is located at the back of the eye. This cloudiness occurs when some of the proteins from the eye's lens start to alter their shape and obstruct the vision.
Cervical Cancer,"Cervical cancer, commonly known as cancer of the cervix, first starts on the surface of the cervix. Abnormal growth of cells in the cervix leads to cancer. The crucial risk factor for cervical cancer is human papillomavirus infection, which can be stopped by HPV vaccination. Because cervical cancer grows slowly, it can generally be detected and treated before it becomes a significant threat. Thanks to better screening methods likepap smeartests, which can detect cancer early."
Cervicitis,"Cervicitis is an inflammation of the cervix, the lower part of the uterus that connects to the vagina."
Chicken Pox,"The varicella-zoster virus causes varicella, or chickenpox, which is a highly contagious infection. Most people recover in 1-2 weeks, despite the unpleasant symptoms. It's a viral illness that causes a rash that looks like blisters. The rash starts on the face and chest and then spreads across the body. It causes an itchy rash with small, fluid-filled blisters. It is especially contagious in those who have not been immunised."
Cholangitis,"Cholangitis is an infection and inflammation of the bile ducts, which carry bile from the liver to the gallbladder and small intestine."
Cleft Lip And Palate,"A cleft is a fissure or a gap. The cleft of the lip can be small or partial and looks like a cleft in the lip. A full cleft will stretch to the nose. A unilateral cleft occurs on the right or left side of the upper lip. A bilateral cleft affects both sides. A cleft palate occurs when the two parts of the skull that make up the hard palate do not fuse. The soft palate also has a gap or cleft. A full cleft palate can also result in a void in the lip, while an incomplete cleft palate appears as a break in the roof of the mouth. Most conditions can be corrected with limited scarring thanks to advanced surgery."
Cushing's Syndrome,"Cushing's syndrome (CS) is a rare endocrinological disorder that occurs due to the excessive production of the stress hormone cortisol (also known as hypercortisolism) by adrenal glands for a prolonged time. Cortisol helps regulate the body's response to stress, blood sugar levels, blood pressure, and immune system. Cushing's syndrome usually affects individuals aged between 30 and 50 years. However, it can rarely occur in children. Cushing's syndrome is three times more prevalent in women than men."
Diabetes,Diabetes is a chronic metabolic disease where the body cannot properly regulate blood sugar (glucose) levels.
Diarrhea,"Diarrhea is characterized by loose, watery, and possibly more frequent bowel motions. It can occur on its own or in conjunction with other symptoms such as nausea, vomiting, abdominal discomfort, or weight loss."
Down Syndrome,"Down syndrome is a genetic disorder caused by the presence of an extra copy of chromosome 21. Distinctive physical features, developmental delays, and intellectual disabilities characterize it."
Diverticulosis,"Diverticula is a condition when tiny, bulging pouches form in the lining of the digestive system. They are discovered in the lower area of the large intestine (colon). The chances of getting diverticula are frequent after the age of 40 but they rarely cause difficulties."
Dengue,"Dengue fever is considered one of the most common tropical viral infections seen in India. Dengue (DENG-gey) is a mosquito-borne illness that mostly affects tropical and subtropical countries. A high temperature and flu-like symptoms are common signs of dengue. A severe form of dengue, dengue hemorrhagic fever, can cause substantial bleeding, a drop in blood pressure (shock), and fatality."
Duchenne Muscular Dystrophy,Duchenne muscular dystrophy is a disorder that affects the skeletal muscles in the body. The early symptoms are:
Diabetes Insipidus,"Diabetes Insipidus is a rare condition that affects the body�s ability to regulate water balance, leading to excessive urination and intense thirst."
Diphtheria,Diphtheria is a contagious bacterial disease caused by bacteria called Corynebacterium diphtheriae that produce toxins.
Dextrocardia Situs Inversus,Dextrocardia Situs Inversus is a rare congenital condition where the heart and other internal organs are positioned in a mirror-image reversal of their normal locations.
Diabetic Neuropathy,"Diabetic neuropathy is a type of nerve damage that can occur in people with diabetes. High blood sugar levels over time can injure nerves throughout the body, but diabetic neuropathy most often affects nerves in the legs and feet."
Diabetic Retinopathy,"Diabetic Retinopathy is a type of eye disease caused by diabetes. It is caused by damage to the blood vessels of the retina, a light-sensitive tissue in the back of the eye."
Encephalitis,"Encephalitis is a condition where there is inflammation of the brain. Virus infection, autoimmune inflammation, bacterial infection, and insect bites can cause this condition. There are occasions when there is no known cause."
Emphysema,"Emphysema is a chronic lung disease that damages the air sacs (alveoli) in the lungs, making it difficult to breathe."
Ear Infection,"Ear Infection is an inflammation or infection of the ear, most commonly affecting the middle ear (otitis media) but it can also involve the outer or inner ear."
Epididymitis,"Epididymitis is an inflammation of the epididymis, the tube that stores and carries sperm. There are different types of epididymitis, classified based on the underlying cause:"
Esophagitis,"Esophagitis is an inflammation of the esophagus, the tube that carries food and liquids from the mouth to the stomach."
Ectopic Pregnancy,"The first stage of pregnancy is fertilized eggs. The uterine lining generally retains the fertilized egg but when it gets implanted and grows outside the uterus's main cavity, it results in an ectopic pregnancy."
Endocarditis,"Endocarditis is an inflammation of the endocardium, of the inner layer of the heart or the heart valves. This condition typically occurs due to fungus, bacteria, or other germs passing through the bloodstream from different parts of your body, including the mouth, and attaching themselves to the heart. If it is not treated immediately, it might harm the heart valves and result in life-threatening problems."
Fibromyalgia,"Fibromyalgia is a condition that causes extensive musculoskeletal pain, as well as fatigue, sleep, cognitive, andmood problems. It increases pain sensations by altering how the brain and spinal cord interpret painful and non-painful signals."
Fungal Infection,"Fungal Infection is an infection caused by fungi (yeasts or molds) that can affect the skin, nails, lungs, or internal organs."
Folic Acid Deficiency,"Folic Acid Deficiency is a condition that occurs when there is a lack of sufficient folate in the body. Folate is a type of B vitamin (B9) that is essential for the formation of red blood cells and DNA synthesis. It is found naturally in various foods, such as leafy green vegetables, fruits, beans, and fortified cereals."
Gastroenteritis,"Gastroenteritis, also called gastro or infectiousdiarrhea,is due to inflammation or infection of the gastrointestinal tract, which comprises the stomach and intestine. Many people also refer to it as a ""stomach bug,"" ""stomach virus,"" or ""stomach flu,"" but it is not influenza. Although most individuals complain of a painful stomach, it can also involve the small intestine and colon."
Glaucoma,"Glaucoma is an eye disease that affects the optic nerve, which is essential for proper vision. Excessively high pressure in the eye is frequently the source of this damage. Glaucoma is one of the most common causes of blindness in persons over 60. It can strike anyone at any age, but it is more common in the elderly. Many types of glaucoma have no symptoms. Because the effect is so gradual, one may not notice any changes in vision until the problem increases."
Gastroesophageal Reflux Disease,"Gastroesophageal Reflux Disease (GERD) is a chronic condition where stomach acid or bile irritates the food pipe (esophagus). The main symptom is heartburn, a burning feeling in the chest, but other symptoms may include regurgitation of food or sour liquid, difficulty swallowing, coughing, wheezing, and chest pain. GERD occurs when the lower esophageal sphincter (LES), which is supposed to prevent stomach contents from rising back up into the esophagus, weakens or relaxes inappropriately."
Gout,"Gout is a complicated kind of arthritis that causes sudden, acute pain, swelling, redness, and tenderness in one or more joints, most commonly the big toe."
Genital Herpes,"The herpes simplex virus causes genital herpes, a common sexually transmitted condition (HSV). The virus is carried mostly through sexual contact. After the first infection, the virus remains dormant in the body and can be reawakened multiple times per year. Genital herpes is characterised by pain, itching, and ulcers in the genital area."
Gingivitis,Gingivitis is a mild form of gum disease that causes inflammation of the gums due to plaque buildup on teeth.
Gastrointestinal Disease,"Gastrointestinal diseases are health problems that affect the digestive tract, also known as the gastrointestinal tract (GI tract). The GI tract includes the stomach, oesophagus, small and large intestine, rectum, and the accessory organs of digestion,gallbladder, liver, and pancreas."
Gastroparesis,"Gastroparesis is a disorder that slows or stops the normal movement of food from the stomach to the small intestine, without any physical blockage."
Gangrene,"Gangrene is a serious condition where body tissue dies due to loss of blood supply, severe infection, or injury."
Genital Warts,"Genital warts are frequent sexually transmitted infections observed in the genital or anal area, caused by thehuman papillomavirus (HPV). The infection spreads through skin-to-skin contact during sex. The warts are found in clusters or separately and usually appear in the genital or anal area."
Graves Diseases,"Graves disease is a condition of the immune system that causes the production of excessive amounts of thyroid hormones (hyperthyroidism). Although various illnesses may cause hyperthyroidism, Graves' disease remains a primary cause in most cases."
Giardiasis,"Giardiasis, often known as a giardia infection, is a common enteric parasitic infection that causesdiarrhea,cramps, nausea, andbloating.The infection is caused by a small parasite called Giardia intestinalis (also known as Giardia lamblia or Giardia duodenalis). This insect may be found where there is a lack of clean drinking water."
Glomerulonephritis,"Glomerulonephritis (GN) is a damage to glomeruli, which are tiny blood vessel-filled structures inside the kidneys. These knots of blood arteries help filter the blood and remove waste fluid. The kidneys will stop functioning normally if the glomeruli are damaged, andkidney failurecan occur."
Gonorrhea,Gonorrhea is a sexually transmitted infection (STI) caused by the bacterium Neisseria gonorrhoeae.
Goiter,"An enlarged thyroid gland known as a goiter makes the neck bulge. A butterfly-shaped thyroid gland is located in front of the windpipe and is responsible for producing and secreting hormones that control metabolism and development. Most goiter cases belong to the category of ""simple"" goiters. These don't cause symptoms, don't affect thyroid function, don't entail inflammation, and frequently have no clear explanation."
Gestational Diabetes,"GD - Gestational diabetes is a kind ofdiabetesthat gets developed in women during pregnancy and it is characterized by sudden high blood sugar levels. Gestational diabetes has an impact on how your cells utilize sugar (glucose). GD increases high blood sugar levels, which can influence pregnancy and the baby's health."
Heart Attack,"Heart Attack is a medical emergency that occurs when blood flow to a part of the heart muscle is suddenly blocked, usually due to a blood clot in a coronary artery."
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland does not produce enough thyroid hormones, which slows down the body�s metabolism."
Herpes Zoster,"Herpes Zoster, also known as Shingles, is a virus that causes a severe rash or blisters on the skin. It is caused by the varicella-zoster virus, which is also responsible for chickenpox. The rash usually manifests itself as a ring of rashes or boils in one area of the body."
Hepatitis C,"Hepatitis C is a viral infection that causes liver inflammation, transmitted via infected blood. Left untreated, it can lead to severeliver damage, but modern treatments offer a cure and allow for an average life expectancy."
Hemophilia,"Hemophilia is a rare condition in which the blood doesn't clot normally because it lacks enough blood-clotting proteins (clotting factors). If you have hemophilia, you may bleed more profusely and for a longer period of time than you would if your blood clots normally.Small wounds typically don't cause too much trouble. The biggest concern is when you have a severe case of the illness causing internal bleeding. Internal bleeding poses a life-threatening risk and can harm your tissues and organs.Typically, hemophilia is a hereditary condition. The specific clotting factor that has been lowered is regularly replaced as part of the treatment. There are other more recent treatments that don't use clotting factors."
Hepatitis A,Hepatitis A disease is a common form of acute viral hepatitis. This viral infection causes liver inflammation and damage.
Head and Neck Cancer,"Head and neck cancer encompasses a range of cancers that develop in the mouth, throat, nose, sinuses, and other areas of the head and neck. Understanding the risk factors associated with these types of cancers is essential for early diagnosis and effective treatment."
High Cholesterol,"Cholesterol is a wax-like substance present in the blood. The body needs cholesterol to create healthy cells but when the body produces too much of it, the chances of developing heart diseases increases. In high cholesterol, the fat gets deposited in the blood vessels."
Hypercalcemia,"Hypercalcemia refers to a condition where there is an elevated blood calcium level.Blood calcium levelsthat are too high can affect your heart and brain function, damage your bones and cause kidney stones."
Hashimoto disease,"Hashimoto's disease, also known as Hashimoto's thyroiditis or chronic autoimmune thyroiditis or chronic lymphocytic thyroiditis, is an autoimmune disease in which the thyroid cells are destroyed via cell and antibody-mediated immune processes."
Hepatitis B,"Hepatitis B, caused by HBV, can be acute (short-term) or chronic (lasting >6 months). Chronic infection raises the risks of liver failure,cancer, andcirrhosis."
Hand Foot Mouth Disease,"Hand Foot Mouth Disease is a common viral infection, mostly affecting young children, that causes sores in the mouth and a rash on the hands and feet."
Hyperthyroidism,"The thyroid gland regulates crucial metabolic functions such as growth and energy expenditure. When the thyroid gland produces too much of the hormone thyroxine, patients get hyperthyroidism (overactive thyroid). The body's metabolism may speed up due to hyperthyroidism, resulting inunexpected weight lossand a rapid or erratic pulse."
Hemochromatosis,"Hemochromatosis, also known as iron overload, is a condition in which the body absorbs an excessive amount of iron from the food we eat. Extra iron is stored in the organs, especially the liver, heart, and pancreas. Too much iron can cause life-threatening diseases such asdiabetes,heart problems,andliver disease.The hemochromatosis-causing genes are inherited, although only a small proportion of those who carry the genes develop severe symptoms. Hereditary hemochromatosis symptoms usually happen in middle age."
Hay Fever,"Hay fever, or allergic rhinitis, presents cold-like symptoms such as:"
HIV AIDS,"HIV targets and weakens the immune system, raising the risk and severity of other infections and dots. HIV is a sexually transmitted disease (STI). It can also be transmitted by exposure to contaminated blood, infected injectables, or sharing needles. It can spread from mother to child through pregnancy, delivery, or nursing. Without treatment, it could take years for HIV to weaken the immune system to the extent of developing AIDS."
Hepatitis E,"Hepatitis E is an illness of the liver caused by the hepatitis E virus (HEV). HEV is found in an infected person's feces. It spreads when someone unintentionally ingests the virus, even in small concentrations. People in underdeveloped nations are more likely to get hepatitis E infection via drinking contaminated water."
Hydronephrosis,"Hydronephrosis is a condition where the kidney becomes swollen due to a buildup of urine, usually because urine cannot drain properly from the kidney to the bladder."
Irritable Bowel Syndrome,"Irritable Bowel Syndrome is a chronic functional disorder of the digestive system that affects how the intestines work, without causing permanent structural damage."
Impetigo,"Impetigo is an infection of the skin's outer layer. It's usually caused by the bacterium Staphylococcus aureus (often known as staph) or Streptococcus pyogenes (called group A strep). Impetigo is more common in children, although it can affect adults as well. It is more prevalent during the summertime."
Iron Deficiency Anaemia,"Iron Deficiency Anaemia is a condition where the body does not have enough iron to produce adequate healthy red blood cells, leading to reduced oxygen delivery to tissues."
Inflammatory Bowel Disease,"Inflammatory Bowel Disease (IBD), is a chronic gastrointestinal condition that lasts a lifetime. Various parts of the digestive system, including the bowels (intestines), become swollen, inflamed, and ulcerated in certain conditions."
Influenza,"Influenza is a contagious viral respiratory infection, commonly known as the flu, that affects the nose, throat, and lungs."
Insomnia,"Insomnia is a sleep disorder where a person has difficulty falling asleep, staying asleep, or waking up too early and not being able to go back to sleep."
Jaundice,"Jaundice is a condition where the skin, eyes, and mucous membranes turn yellow due to high levels of bilirubin in the blood."
Kidney Stones,Kidney Stones are hard deposits made of minerals and salts that form inside the kidneys when urine becomes concentrated.
Kidney Infection,"Kidney Infection is a type of urinary tract infection (UTI) where bacteria travel from the bladder up into one or both kidneys, causing inflammation and infection."
Kidney Cancer,"Kidney cancer, or renal cancer, involves uncontrollable growth of cells that form tumors. These malignant tumors can damage nearby tissues and spread to other parts of the body. Most kidney tumors originate in the kidney’s small tube lining and are termed renal cell carcinoma."
Kidney Cysts,The kidneys can develop spherical fluid-filled pockets called kidney cysts. There are different kinds of kidney cysts.
Klinefelter Syndrome,Klinefelter syndrome results in an extra X chromosome copy. Males with Klinefelter syndrome are affected by a hereditary disorder that often isn't diagnosed until adulthood.
Kawasaki Disease,"In children, Kawasaki disease (KD) causes swelling (inflammation) in the walls of blood vessels that carry blood throughout the body. Kawasaki disease usually causes inflammation of the coronary arteries, which carry oxygen-rich blood to the heart. It was initially known as mucocutaneous lymph node syndrome because it caused swelling in glands (lymph nodes) and mucous membranes within the mouth, nose, eyes, and throat."
Leprosy,"Leprosy is a chronic infectious disease caused by the bacterium Mycobacterium leprae, mainly affecting the skin, nerves, and sometimes the eyes and upper respiratory tract."
Lupus,"Lupus is a condition in which the body's immune system attacks its own tissues and organs (called autoimmune disease). Lupus can cause inflammation in the joints, skin, kidneys, blood cells, brain, heart, and lungs, among other physiological systems."
Leukaemia,"When the DNA of a single cell in the bone marrow changes (mutates), the cell can no longer grow or function normally; it is known as leukemia. It is a kind of cancer that affects the blood and bone marrow. The soft, spongy substance in the center cavity of all bones is called bone marrow. It's a small area where all the blood cells are produced, and nutrients are provided to help the healthy blood cells. But when these cells grow abnormally, it's known as Cancer."
Lichen Sclerosus,"Lichen sclerosus is a skin condition that can affect the vulva (the area outside your vagina), anus, or penis. It discolours the skin, making it thin, irritated, and itchy. Blisters and sores may grow on the patient’s genitals as a result of chronic itching. Other body parts are rarely affected by these symptoms."
Liver disease,Liver Disease refers to a group of conditions that damage the liver and affect its ability to function properly.
Liver Cancer,"Liver Cancer is a malignant (cancerous) growth that starts in the liver cells, most commonly as hepatocellular carcinoma."
Labyrinthitis,"Labyrinthitis is an inner ear disorder caused by inflammation of the labyrinth, the part of the ear responsible for balance and hearing."
Lyme Disease,"Lyme disease is caused by four different bacteria types which are Borrelia burgdorferi, Borrelia mayonii, Borrelia afzelii and Borrelia. It is the most common tick-borne infection that spreads by the bite of an infected black-legged tick, sometimes known as a deer tick."
Leishmaniasis,"Leishmaniasis is a parasitic illness transmitted by the bite of infected phlebotomine sandflies infected by protozoa Leishmania. Female phlebotomine sand flies get infected by Leishmania parasites when they drink the blood of an infected animal, such as a dog or rodent. You will see a red ring on your skin after being bitten by an infected sandfly. Blood transfusions and sharing of needles are additional ways to contract visceral leishmaniasis. It can also pass from an infected pregnant woman to her unborn child."
