Disease,Do_1,Do_2,Do_3,Do_4,Do_5
Acromegaly,Take all prescribed medicines regularly and follow endocrinologist advice.,Go for regular hormone tests (growth hormone levels) and MRI scans if advised.,Maintain a healthy diet and control blood sugar and blood pressure.,"Report new symptoms like headache, vision problems, or joint pain to the doctor.",Attend regular follow-ups after surgery or radiation therapy if done.
Acute Bronchitis,Take plenty of rest and keep yourself hydrated.,Avoid smoky environments,Eat a healthy diet,Wash your hands often to prevent the spread of infection.,Take the flu vaccination
Arterial,"Follow a heart-healthy lifestyle with low-fat, low-salt food.","Take prescribed medicines for blood pressure, cholesterol, or blood thinning regularly.",Do light to moderate exercise as advised by your doctor.,"Control diabetes, blood pressure, and cholesterol levels.",Go for regular medical check-ups and vascular tests if advised.
Acute Appendicitis,Seek immediate medical attention if severe right-lower abdominal pain occurs.,Follow doctor’s advice strictly and prepare for surgery if recommended.,Take prescribed antibiotics and pain medicines as directed.,Rest completely and avoid physical strain.,"Follow post-surgery care instructions carefully (wound care, diet, follow-up)."
Bipolar Disorder,Take mood-stabilizing medicines regularly as prescribed by a psychiatrist.,"Maintain a regular routine for sleep, meals, and daily activities.",Attend regular therapy or counseling sessions.,Monitor mood changes and seek help early if symptoms worsen.,"Get support from family, friends, or support groups."
Bacterial Vaginosis,Take prescribed antibiotics completely as advised by the doctor.,"Maintain good genital hygiene (wash with plain water, keep area dry).","Wear clean, breathable cotton underwear.","Visit a doctor if you notice unusual discharge, odor, or itching.",Follow safe sexual practices and inform your partner if advised.
Blepharitis,Use a wet and warm cloth to wipe your eyes,Take medicines regularly,Drink lots of water,Take prescription eye drops,Avoid powder and glitter-based eye shadows
Bruxism (Teeth Grinding),Visit a dentist for proper diagnosis and treatment.,Use a night guard or mouth guard if prescribed.,Practice stress-reduction techniques like relaxation or meditation.,Maintain good sleep habits and regular sleep timings.,Apply warm compresses to the jaw muscles to reduce pain.
Barrett's Esophagus,Go for an endoscopy when you have GERD for a long time.,Follow a healthy lifestyle.,Visit the doctor when you have difficulty swallowing.,Take proper rest and sleep.,Maintain healthy body weight.
Bronchiectasis,"Take prescribed antibiotics, inhalers, and medicines regularly",Practice chest physiotherapy and breathing exercises to clear mucus.,Stay well hydrated to help loosen mucus.,"Get regular vaccinations (flu, pneumonia) as advised by your doctor.","Seek medical help early if cough, fever, or breathlessness increases."
Bile Duct Cancer,"Seek medical attention if you experience unusual symptoms such as abdominal pain, jaundice, loss of appetite, and weight loss.","To lower the risk of developing bile duct cancer, keep a healthy body weight, exercise regularly, and stick to a healthy diet.",Keep track of your medications and discuss any side effects with your doctor.,Ask your doctor about regular screening and monitoring for bile duct cancer.,"Stay informed about bile duct cancer, treatment options, and support resources."
Benign Prostatic Hyperplasia,Maintain a healthy diet that is low in fat and high in fiber.,Stay physically active and engage in regular exercise.,Stay hydrated and consume plenty of water to help flush out any urinary tract blockages.,Practice good hygiene habits to prevent infection.,Follow medications and treatments prescribed by the healthcare provider.
Benign Tumor,Typically grow slowly,Do not Spread into surrounding tissue or organs,"Have smooth, distinct borders",Do not invade other parts of the body,
Botulism,Maintain good food hygiene,Wash your hands thoroughly,Refrigerate any foods that use oils infused with garlic or herbs.,Refrigerate canned foods after they are opened.,Avoid prepackaged foods in containers
Breast Cancer,Maintain a healthy weight,"Eat organic meat, eggs and dairy products.",Drink 8-10 glasses of water per day,Breastfeed your baby instead of bottle feeding.,"If possible, plan pregnancy before 35 years of age."
Burning Mouth Syndrome,Visit a dentist or doctor for proper diagnosis and treatment.,"Maintain good oral hygiene using mild, non-irritating toothpaste.",Drink plenty of water to keep the mouth moist.,Manage stress and anxiety through relaxation techniques.,Take prescribed medicines or vitamin supplements if advised.
Bladder Stones,Cut down on high-purine foods such as organ and meat,Avoid foods and drink high in oxalates and phosphates,Drink plenty of fluids,Follow a healthy diet plan,
Bone Marrow Failure Syndrome,Follow hematologist’s advice and take prescribed medicines regularly.,Go for regular blood tests to monitor blood cell counts.,Maintain good hygiene to prevent infections.,"Eat a nutritious, balanced diet as advised by the doctor.","Seek immediate medical help if fever, bleeding, or severe weakness occurs."
Burns Injury,Cool the burn immediately under cool running water for 10–20 minutes.,"Remove tight clothing, rings, or bangles near the burned area gently.","Cover the burn with a clean, dry, non-stick cloth or dressing.","Seek medical help for deep, large, or severe burns.","Keep the person calm, warm, and hydrated if possible."
Chlamydia Infection,Take the full course of antibiotics exactly as prescribed by the doctor.,Inform and test sexual partner(s) so they can be treated as well.,Abstain from sexual activity until treatment is completed and symptoms resolve.,"Go for follow-up testing if advised, especially after treatment.",Practice safe sex using condoms to prevent reinfection.
Crohn's Disease,"Try meditation, yoga,",Be alert for the symptoms.,Take dietician advice,Be hydrated,Keep an emergency kit ready.
Cystic Fibrosis,Maintain good personal hygiene,Exercise daily,Eat a balanced diet,Take the medicines as prescribed by the doctor,Eat plenty of fresh vegetables and fruits
Cystitis,Drink plenty of water to help flush out bacteria from the bladder.,Take prescribed antibiotics fully and on time.,Maintain good personal and genital hygiene.,Urinate regularly and empty the bladder completely.,"See a doctor if symptoms like burning urination, pain, or fever persist."
Chronic Obstructive Pulmonary Disease,Stop smoking completely and avoid second-hand smoke.,Take prescribed inhalers and medicines regularly and correctly.,Practice breathing exercises and pulmonary rehabilitation if advised.,Get vaccinated (flu and pneumonia) as recommended by the doctor.,"Seek medical help early if breathlessness, cough, or sputum increases."
Cirrhosis,Stop alcohol completely and follow doctor’s advice strictly.,Take all prescribed medicines regularly and attend follow-up visits.,"Eat a balanced, low-salt diet as recommended.",Get regular tests and scans to monitor liver function.,"Seek medical help immediately if you notice jaundice, swelling, bleeding, or confusion."
Carpal Tunnel Syndrome,Take regular breaks from repetitive hand or wrist activities.,"Use a wrist splint, especially at night, as advised by a doctor.",Perform gentle hand and wrist stretching exercises.,Maintain proper posture and ergonomic workstation setup.,"Consult a doctor if numbness, tingling, or pain persists."
Cervical Spondylosis,"Maintain proper neck posture while sitting, working, and sleeping.",Do regular neck stretching and strengthening exercises as advised.,"Use a firm, supportive pillow at night.",Take prescribed pain-relief medicines or physiotherapy sessions.,Take frequent breaks during long hours of mobile or computer use.
Celiac Disease,"Follow a strict gluten-free diet (avoid wheat, barley, and rye).",Read food labels carefully to check for hidden gluten.,"Eat naturally gluten-free foods like rice, fruits, vegetables, pulses, and dairy.","Take vitamin and mineral supplements if prescribed (iron, calcium, vitamin D).", Visit a doctor regularly to monitor nutrition and recovery.
Common Cold,"Get adequate sleep, exercise daily, and eat nutritious meals.",Drink plenty of water.,"When coughing or sneezing, cover your nose and mouth with your arm (not your hands).",Use paper tissues that can be thrown away after usage instead of cotton handkerchiefs to avoid the spread of cold.,Use effective over-the-counter medications.
Cardiomyopathy,Take enough sleep for at least 7 to 9 hours.,Eat healthy food and take proper balanced diet,Regular exercises or yoga.,Control your blood pressure levels,Take precautions to avoid any kind of infection.
Cholera,Use bottled water to avoid contamination,Use packaged food,Keep yourself hydrated,Use hand sanitisers made of at least 60% alcohol,
Cataract,Use eye drops as per the doctor's instructions.,Wear a protective eye cap at night for a week.,Take the medications prescribed by the doctor.,Wear sunglasses when you are outdoors.,"Avoid dusty, gritty, or sandy environments."
Cervical Cancer,Do Pap test,Get vaccinated at the right time,Practice safe sex,Eat zinc in the diet,Exercise Regularly
Cervicitis,Maintain vaginal hygiene,Understand your allergies,Take medical assistance,Take the medications on time,Avoid sex with multiple partners
Chicken Pox,Get plenty of rest and stay at home to avoid spreading infection.,Keep skin clean and dry; take lukewarm baths if advised.,Trim nails short to prevent skin infection from scratching.,"Take prescribed medicines (antihistamines, fever reducers) as advised.","Drink plenty of fluids and eat a light, nutritious diet."
Cholangitis,Seek immediate medical attention—cholangitis is a medical emergency.,Take prescribed IV antibiotics and other medicines exactly as advised.,"Follow hospital instructions for tests or procedures (e.g., ERCP) if needed.",Stay well hydrated and rest as recommended by the doctor.,Attend all follow-up visits and complete the full course of treatment.
Cleft Lip And Palate,Seek early treatment from a pediatric surgeon or craniofacial specialist.,Ensure proper feeding techniques (special feeding bottles if needed).,"Follow the planned schedule for surgery, speech therapy, and dental care.",Maintain good oral hygiene to prevent infections.,Provide emotional support and regular follow-up care.
Cushing's Syndrome,Follow endocrinologist’s advice and take prescribed medicines regularly.,Follow doctor advice,Monitor cortisol levels,Eat low-salt diet,Attend follow-ups
Diabetes,Monitor blood sugar regularly,Take medicines/insulin on time,"Eat a balanced, diabetic diet",Exercise regularly,Attend regular check-ups
Diarrhea,Drink more water to keep your body hydrated.,"Take anti-diarrheal drugs, such as Imodium or Pepto-Bismol as prescribed as they can be quite effective in alleviating the symptoms of diarrhea in the short term.",Eat food that is good for your gastrointestinal system.,"Take probiotics that are good for gastrointestinal health such as yoghurt, cheese, pickles, and sauerkraut.",
Down Syndrome,Start early intervention therapies,Attend regular health check-ups,Provide emotional and social support,Support learning and development,Maintain balanced nutrition
Diverticulosis,Eat high-fiber diet,Drink plenty of water,Exercise regularly,Maintain healthy bowel habits,Follow doctor advice
Dengue,Seek medical care early,Monitor platelet count,Drink plenty of fluids,Take paracetamol for fever,Rest completely
Duchenne Muscular Dystrophy,Consume more calcium and get more vitamin D.,Exercise recommended by your physiotherapist.,Take prescribed medicines on time,Include a lot of vegetables and fruits in the diet,Maintain ideal body weight
Diabetes Insipidus,Stay well-hydrated,Follow a doctor-approved diet,Take your medicines regularly,Track your water intake,Follow your doctor's instructions
Diphtheria,"Take diphtheria vaccine DTaP (diphtheria, tetanus, acellular pertussis).",Keep yourself isolated till the condition subsides.,Take antibiotics prescribed by the doctor.,Avoid traveling to high risk countries.,Get completely immunized before traveling to a place where Diphtheria is common.
Dextrocardia Situs Inversus,Take enough sleep for at least 7 to 9 hours.,Eat healthy food and follow a proper diet.,Control your blood pressure levels,Manage your stress.,Take precautions to avoid any kind of infection.
Diabetic Neuropathy,Maintain strict blood sugar control,Take prescribed neuropathy medicines,Check feet daily for injuries,"Wear proper, cushioned footwear",Attend regular diabetes follow-ups
Diabetic Retinopathy,Get regular eye checkups,Take proper nutrients,Wear eye protection when necessary,Monitor blood sugar levels,Manage cholesterol levels
Encephalitis,Take lot of sleep and rest.,Consume plenty of fluids.,Keep surroundings clean and dry.,Perform yoga exercises and meditations.,Get properly diagnosed and treated
Emphysema,Maintain a healthy weight,Exercise regularly,Monitor symptoms closely,Use inhalers as prescribed,Follow up with your doctor
Ear Infection,Take prescribed antibiotics/ear drops,Keep ear clean and dry,Follow doctor advice strictly,Complete full medicine course,Visit doctor if pain or fever persists
Epididymitis,Take prescribed antibiotics fully,Rest and limit physical activity,Elevate scrotum for support,Apply cold packs if advised,Attend follow-up visits
Esophagitis,Stop smoking,Eat small meals slowly,Lose weight if you are overweight,Stick to low-fat foods and protein,Try to avoid eating for 3 hours before bedtime.
Ectopic Pregnancy,Have a healthy diet,Take medications on time,Plan for early pregnancy (mostly before age 35),Limit the daily coffee intake,Take proper rest
Endocarditis,"Visit your doctor if you have any symptoms of endocarditis, such as fever, chills, fatigue, etc.",Follow your doctor's instructions for taking antibiotics if prescribed.,"Maintain good oral hygiene to prevent dental infections, which can lead to endocarditis.",Take steps to prevent infection by washing your hands frequently.,"Manage underlying medical conditions, such as diabetes and high BP, that can increase your risk of endocarditis."
Fibromyalgia,Do regular gentle exercise,Maintain good sleep routine,Manage stress effectively,Take prescribed medicines,Attend regular follow-ups
Fungal Infection,Keep affected area clean and dry,Use prescribed antifungal medicine fully,"Wear loose, breathable clothing",Maintain good personal hygiene,Consult doctor if infection spreads
Folic Acid Deficiency,Take folic acid supplements,Eat folate-rich foods,Follow doctor advice,Monitor blood levels,1. Take supplements during pregnancy
Gastroenteritis,Drink ORS and fluids,Maintain hand hygiene,"Eat light, soft food",Take prescribed medicines,Get adequate rest
Glaucoma,Take proper rest.,Use the eye drops given by the doctor as prescribed.,Eat proper diets suggested by the doctor.,,
Gastroesophageal Reflux Disease,"Eat small, frequent meals",Maintain healthy body weight,Take prescribed acid-reducing medicines,Elevate head while sleeping,Avoid late-night meals
Gout,Drink plenty of water,Maintain a healthy weight,Take proper sleep of 8 hours,Avoid foods that might trigger a gout flare-up,Take prescription gout medication
Genital Herpes,Practice Good Hygiene Habits,Get adequate sleep,Get Tested for STDs if you see symptoms,Tell your partner if you have genital herpes,
Gingivitis,Maintain good oral health,Stick to proper tooth brushing techniques.,Use fluoride toothpaste,Regular dental check-ups,Replace your toothbrush every 2-3 months.
Gastrointestinal Disease,"Eat light, balanced meals",Drink clean and adequate fluids,Maintain good hand hygiene,Take prescribed medicines,Seek medical care for persistent symptoms
Gastroparesis,Avoid or reduce alcohol and smoking,Engage in regular physical activity,Keep yourself hydrated,"Eat frequent, small meals that are low in fat and fibre",Take the medicines as prescribed by the doctor
Gangrene,Seek emergency medical care immediately,Keep affected area clean and dry,Take prescribed antibiotics,Control diabetes and blood flow,Follow surgical treatment if advised
Genital Warts,Apply medicines as instructed.,Use condoms during intercourse,Keep follow-up health care provider appointments until all warts are gone,Maintain personal hygiene,Get tested for other STDs.
Graves Diseases,Get your thyroid checked every 2 months,"Perform some physical activities, yoga or exercise","Take foods that have calcium, magnesium, vitamin D","Include mushrooms, sunflower seeds, brown rice in your meal",Avoid taking white flour
Giardiasis,Drink clean water,"Practice protected sex, use a condom",Eat fruits and vegetables only after washing them in clean water,"After using the restroom, wash your hands with soap.",Keep yourself hydrated.
Glomerulonephritis,Keep yourself hydrated,Control your blood sugar level if you have diabetes,"Eat a healthy diet with less protein, potassium, phosphorus, and salt.",Exercise regularly to maintain the ideal weight,Eat plenty of fruits and vegetables
Gonorrhea,Take prescribed antibiotics fully,Inform and treat sexual partner(s),Abstain from sex during treatment,Follow doctor advice,Get retesting if advised
Goiter,Eat a balanced diet.,Eat healthy dairy products.,Check your thyroid levels regularly.,Use iodized salt in your food.,Keep your body hydrated
Gestational Diabetes,Get regular checkups for diabetes and babyâ€™s health.,Take proper nutrients and vitamins.,Perform some regular exercises,Monitor blood sugar levels daily,Take enough rest
Heart Attack,Call emergency services immediately,Keep patient calm and resting,Chew aspirin if advised,Loosen tight clothing,Monitor breathing and pulse
Hypothyroidism,Take thyroid medicine daily,Get regular thyroid tests,Eat balanced diet,Follow doctor advice,Attend regular check-ups
Herpes Zoster,Start antiviral medicines early,Keep rash clean and dry,Take prescribed pain medicines,Get adequate rest,Cover rash to prevent spread
Hepatitis C,Take antiviral medicines as prescribed,Attend regular liver function tests,Avoid alcohol completely,Maintain healthy diet,Follow specialist advice
Hemophilia,Take clotting factor therapy as prescribed,Prevent injuries and falls,Use protective gear,Inform doctors before procedures,Attend regular hematology follow-ups
Hepatitis A,Wash hands properly with soap and water.,Avoid sexual activity if infected with Hepatitis A,Avoid travelling to countries having wide-spread hepatitis A,Drink clean drinking water,Take hepatitis A vaccination
Head and Neck Cancer,Stay well-hydrated by drinking enough fluids throughout the day.,Follow your healthcare provider's recommendations for treatment and follow-up care.,Follow a balanced and nutritious diet.,Maintain good dental hygiene by flossing and brushing on a regular basis.,
High Cholesterol,"Follow low-fat, heart-healthy diet",Exercise regularly,Take prescribed statins,Monitor lipid levels,Maintain healthy weight
Hypercalcemia,Exercise and stay active,Follow your doctorâ€™s medical prescription,Drink a lot of water,Consult with your doctor before taking any medications,Avoid dairy products with added calcium
Hashimoto Disease,Take thyroid hormone regularly,Get regular thyroid tests,Follow endocrinologist advice,Eat balanced diet,Attend regular follow-ups
Hepatitis B,Take antiviral medicines as prescribed,Get regular liver function tests,Follow doctor/specialist advice,"Maintain healthy, balanced diet",Ensure vaccination of close contacts
Hand Foot Mouth Disease,Use bleach or sanitizers to disinfect toys.,"Wash your hands, especially after changing diapers.",Call the doctor if symptoms worsen and donâ€™t improve within 2 weeks.,Take complete rest until the fever is gone.,Clean contaminated surfaces
Hyperthyroidism,Regular thyroid monitoring,Drink plenty of water.,"Consume foods high in antioxidants, tyrosine, and selenium.",Limit or avoid soy-containing foods.,Consume iodine in proper amounts
Hemochromatosis,Follow regular phlebotomy schedule,Monitor iron levels regularly,Follow doctor advice strictly,"Eat balanced, low-iron diet",Consume iodine in proper amounts
Hay Fever,Keep car windows closed when traveling.,Take medicines as prescribed by your doctor,Vacuum regularly and dust with a damp cloth,Stay indoors whenever possible,
HIV AIDS,Use sterilized needles,Maintain a healthy lifestyle.,Get tested for STD if you suspect the symptoms.,Have safe sex- use condoms,See your doctor regularly
Hepatitis E,Drink purified water only.,Wash hands properly after using the washroom.,Properly clean the toilets and bathrooms after an infected person has used it.,Boil the drinking water to purify it.,
Hydronephrosis,Seek urologist consultation early,Treat the underlying obstruction,Take prescribed medicines,Monitor urine output,Attend regular imaging follow-ups
Irritable Bowel Syndrome,Eat homemade food regularly,Avoid foods that trigger your IBS,Exercise regularly,Take probiotics as advised,Sleep properly and rest well
Impetigo,Use the antibiotics and the ointments prescribed by the doctor.,Wash your hands frequently after touching the blisters,Use soap to keep your skin clean,Keep your nails short and clean,Wear clean and comfortable clothes
Iron Deficiency Anaemia,Eat iron-rich foods,Consume vitamin C-rich foods,Take only prescribed iron supplements,Regularly exercise,Regular health check-up
Inflammatory Bowel Disease,Try working out moderately for 30 mins daily,"Eat low-fat, and high-carb foods",Avoid eating gas-producing foods,Take your medicines as per the prescription,Drink more water
Influenza,Take flu vaccination,Wash your hands frequently to avoid contamination.,Eat a healthy diet,Take medicines as prescribed by the doctor.,Take plenty of rest
Insomnia,Go to the bed and wake up at the same time everyday.,Relax before going to bed.,Create a dark and quiet atmosphere.,Exercise during the day.,"Be comfortable with the right mattress, pillows and covers."
Jaundice,Consult doctor for cause evaluation,Get liver function tests done,Take prescribed medicines,"Eat light, healthy diet",Take adequate rest
Kidney Stones,Drink plenty of water,Take prescribed medicines,Follow stone-specific diet,Stay physically active,Attend follow-up scans
Kidney Infection,Take prescribed antibiotics fully,Drink plenty of fluids,Get adequate rest,Follow doctor advice,Attend follow-up tests
Kidney Cancer,"Eat a healthy diet, including fruits and vegetables.",Watch your protein intake.,Monitor your phosphorus intake.,Maintain a healthy weight.,Take precautions as advised by your doctor
Kidney Cysts,Drink plenty of water to flush out waste and toxins from your kidneys.,Exercise regularly to maintain a healthy weight and improve blood circulation.,"Follow a healthy diet that is low in salt, fat, and processed foods.",Take medications as prescribed by your doctor.,Regularly monitor and control any underlying medical conditions such as diabetes and high blood pressure.
Klinefelter Syndrome,Maintain a healthy lifestyle with regular exercise and a balanced diet.,Seek regular medical check-ups and follow recommended treatment plans.,Engage in social and educational activities to enhance personal growth.,"Seek support from family, friends, and medical professionals.",Stay informed about Klinefelter Syndrome and its effects.
Kawasaki Disease,Seek immediate pediatric care,Start IVIG treatment early,Monitor heart (echocardiography),Give prescribed aspirin,Attend regular follow-ups
Leprosy,Take MDT (multi-drug therapy) completely,Follow doctor advice strictly,Maintain good personal hygiene,Protect numb areas from injury,Attend regular follow-ups
Lupus,Take prescribed medicines regularly,Attend regular rheumatology follow-ups,Use sun protection (sunscreen),"Eat balanced, healthy diet",Monitor symptoms closely
Leukaemia,Follow oncologist treatment plan,Take chemotherapy/medicines as prescribed,Monitor blood counts regularly,Maintain good hygiene,Attend regular follow-ups
Lichen Sclerosus,Reduce Physical and Emotional Stress,Get adequate sleep,Practice Good Hygiene Habits,Consume calcium-rich foods or take a calcium citrate supplement on a daily basis.,"To help cleanse out the system, drink plenty of water and other low-oxalate liquids."
Liver Disease,Do regular exercises,Eat a well-balanced diet and eat less fatty foods and more fibre.,Maintain a healthy body weight,Get vaccinated against hepatitis A and B.,Drink plenty of water.
Liver Cancer,Consult oncologist/hepatologist early,Follow treatment plan strictly,Attend regular scans and tests,"Eat healthy, liver-friendly diet",Manage pain and symptoms
Labyrinthitis,Seek medical care early,Take prescribed medicines,Rest in a quiet environment,Stay well hydrated,Move slowly to prevent falls
Lyme,"Wear protective clothing, long sleeves, and long pants to cover parts of the body.",Shower immediately after you come from outside.,Take medical assistance if you are not able to pull out the black-legged tick.,Take antibiotics and apply lotions regularly.,"Avoid areas that are wooded, brushy,or have grass."
Leishmaniasis,Practice good hygiene by washing your hands regularly and keeping your surroundings clean.,"Wear protective clothing, especially when entering areas with a high risk of flies exposure.",Use insect-repellent sprays or creams while spending time outdoors.,Seek medical help immediately if you notice any symptoms of Leishmaniasis.,Cover windows and doors with screens to prevent sandfly entry.
Left Main Coronary Artery Disease,Seek urgent cardiologist care,Follow angiography results strictly,Take prescribed heart medicines,"Control BP, sugar, cholesterol",Prepare for CABG/PCI if advised
Lewy Body Dementia,Create a safe and comfortable environment for the person with LBD,Provide a consistent routine and structure to their day.,Encourage the person to exercise regularly and maintain a healthy diet.,Work with a healthcare provider to develop a care plan that addresses the person's unique needs and challenges.,Educate yourself and others about Lewy body dementia to better understand and respond to the person's behavior and symptoms.
Lactose Intolerance,Choose lactose-free or low-lactose dairy products,Consider non-dairy alternatives,Read food labels carefully to avoid lactose intake,Take lactase supplements,Incorporate calcium-rich foods into your diet
Meningitis,Do get vaccinated: Vaccines can protect you from many types of meningitis. This is especially important for those at higher risk.,"Do maintain good hygiene: Wash your hands regularly with soap and water, especially before eating and after using the toilet. Also avoid sharing personal items like utensils, toothbrushes, and drinking glasses.",Do seek medical help promptly if you suspect meningitis: Early treatment is vital and can save lives. Don't wait until the symptoms get severe.,,
Measles,Isolate patient to prevent spread,Take prescribed medicines,Drink plenty of fluids,Get adequate rest,Ensure vaccination for contacts
Myocardial Infarction,Take deep breathings and stay calm,Ask someone to take you to the hospital,Loosen tight clothing,Chew and swallow an aspirin,Take prescribed nitroglycerin
Multiple Sclerosis,Eat plenty of fruits and vegetables in the diet.,"Drink plenty of water,",Take the medicines prescribed by the doctor.,"Keep a positive attitude, strong will and determination.","Consume hot and cold foods separately,"
Myocarditis,Eat a healthy balanced diet.,Take your medications timely.,Limit your intake of salt in the food.,Wash your hands very frequently.,Take your vaccinations.
Malaria,Apply mosquito repellents frequently.,Use mosquito nets over the bed.,Eat healthy meals and stay hydrated.,Include protein in your daily meals.,
Menieres,Follow a low sodium diet,Eat a healthy and balanced meal,Keep emergency medicines with yourself,Focus on mental health,
Multiple Myeloma,"Exercise regularly,","Eat fresh and healthy fruits,",Take medicines prescribed by the doctor,Monitor unusual bleeding and Regular Followups with Doctor,
Muscular Dystrophy,Eat a well-balanced die,Exercise regularly to improve muscle activity,"Avoid dry foods with loose crumbs, like crackers or chips","Avoid processed foods, such as white bread, sugar, and pasta",Meditate and practise yoga to keep your mind healthy and positive
Metabolic Syndrome,Monitor the sudden weight gain and other changes in the body.,Eat healthy omega-3 fatty foods.,"Exercise and maintain a healthy body weight,",Eat plenty of vegetables and fruits.,Maintain a healthy blood sugar and cholesterol level.
Monkeypox Disease,"Wash hands with soap and water, or use an alcohol-based hand sanitizer.",Discuss with partners about their sexual health and any symptoms they may be experiencing.,"If you have monkey pox symptoms, avoid sex and intimate contact.",Do not share utensils and cups with a monkeypox infected person.,Avoid travelling to high risk countries.
Myasthenia Gravis,Take medicines exactly on time,Rest between activities,Monitor breathing and swallowing,Attend regular neurology follow-ups,Wear medical alert identification
Mumps,Wash your hands with water and soap frequently.,Cover your mouth while coughing and sneezing.,Use effective over-the-counter medications.,Drink plenty of fluids,Get MMR vaccine
Myositis,Do regular low-impact exercise,Maintain healthy body weight,Use prescribed pain relief,Apply heat or cold therapy,Attend physiotherapy sessions
Nasal Cancer,Practice good nasal hygiene,Follow the treatment plan prescribed,Protect your nasal cavity from irritants and pollutants,Adopt a healthy lifestyle,
Nonalcoholic Fatty Liver Disease,"Adopt a balanced diet rich in fruits, vegetables, whole grains, and lean proteins.",Engage in regular physical activity to improve liver function and reduce fat.,Monitor and maintain a healthy weight. Even losing a small percentage can reduce liver fat.,"Consume healthy fats, like those found in fish, nuts, and olive oil.",Stay well-hydrated by drinking plenty of water daily.
