Disease,Dont_1,Dont_2,Dont_3,Dont_4,Dont_5,Dont_6,Dont_7,Dont_8,Dont_9,Dont_10
Burns Injury,"Do not apply ice, butter, oil, toothpaste, or home remedies.",Do not burst blisters.,Do not touch the burn with dirty hands.,Avoid applying creams or ointments unless prescribed by a doctor.,Do not delay treatment for serious burns.,,,,,
Chlamydia Infection,"Do not stop antibiotics early, even if symptoms improve.",Do not have unprotected sex during treatment.,"Do not ignore symptoms like abnormal discharge, pain during urination, or pelvic pain.",Avoid self-medication or home remedies.,Do not delay medical consultation if exposed or symptomatic.,,,,,
Crohn's Disease,Smoking and having tobacco products,Stay away from multivitamins.,"Eat processed foods, refined sugar, dairy products, coffee and alcohol.",Drink less water.,Eat large meals.,,,,,
Cystic Fibrosis,Avoid regular medical checkups,Take stress,Eat foods containing saturated fat,Discontinue the medicine without completing the dosage,Stay sedentary with no physical activity,,,,,
Cystitis,Do not hold urine for long periods.,"Avoid caffeine, alcohol, and spicy foods that irritate the bladder.",Do not stop antibiotics early.,Avoid using scented soaps or sprays in the genital area., Do not ignore recurring urinary infections.,,,,,
Chronic Obstructive Pulmonary Disease,Do not smoke or use tobacco in any form.,"Avoid dusty, polluted, or smoky environments.",Do not skip inhalers or medicines.,Avoid strenuous activities that worsen breathlessness without advice.,Do not ignore worsening symptoms or infections.,,,,,
Cirrhosis,Do not consume alcohol in any form.,"Avoid salty, oily, and junk foods",Do not take painkillers or herbal medicines without doctor�s advice.,Avoid raw or undercooked seafood.,Do not ignore worsening symptoms or skip check-ups.,,,,,
Carpal Tunnel Syndrome,Do not ignore persistent numbness or weakness in the hand.,Avoid repetitive or forceful wrist movements without breaks.,Do not sleep with the wrist bent or twisted.,Avoid heavy gripping or vibration tools if possible.,Do not delay medical treatment if symptoms worsen.,,,,,
Cervical Spondylosis,Do not sit for long hours with bent neck or poor posture.,Avoid sudden jerky neck movements.,Do not lift heavy weights without proper support.,Avoid using very soft or very high pillows.,"Do not ignore neck pain, stiffness, or tingling in arms.",,,,,
Celiac Disease,"Do not eat foods containing wheat, maida, suji, barley, or rye.",Avoid cross-contamination (separate utensils for gluten-free food).,"Do not ignore symptoms like diarrhea, weight loss, or fatigue.",Avoid self-diagnosis or stopping the diet without medical advice.,Do not skip follow-up tests or consultations.,,,,,
Common Cold,Take antibiotics.,"Excessively touch your eyes, nose, and mouth.","Share cups, glasses or utensils among family members, especially during peak cold.",Ignore cold symptoms that are becoming worse.,Take ineffective medicines.,,,,,
Cardiomyopathy,"Eat junk, oily or deep fried foods.",Forget to take medications.,Let your cholesterol level increase.,Forget to go for routine checkups.,Do smoking or consume alcohol.,Ignore other signs or symptoms.,,,,
Cholera,Drink from the tap water,Eat raw meat and unpeeled fruits and vegetables,Drink unpasteurised milk,Ignore proper sanitation and cleanlinesss,,,,,,
Cataract,Rub your eye or apply anything to your eyes.,Take a shower bath for the first ten days after surgery.,Drive until your doctor says so.,Touch your eyes without washing your hands.,Indulge in activities that might cause damage to your eyes.,,,,,
Cervical Cancer,Eat processed and junk foods,Ignore symptoms that are new & persistent.,Eat raw or uncooked meat products,Consume foods and drinks that include high sugar.,Smoke cigarettes,,,,,
Cervicitis,Use tampons,Self-medicate for any rashes or infections,Sex at an early age,"Apply chemical products like creams or moisturizers in
                                                            the
                                                            vaginal area",Touch or scratch the infected area,,,,,
Chicken Pox,Do not scratch blisters or scabs.,"Avoid close contact with pregnant women, infants, and people with weak immunity.",Do not apply home remedies or creams without medical advice.,"Avoid spicy, oily, or junk food if it increases discomfort.",Do not go to school/work until all blisters have dried.,,,,,
Cholangitis,"Do not ignore symptoms like fever, jaundice (yellow eyes/skin), or abdominal pain.",Do not delay hospital care or procedures if advised.,Avoid alcohol completely.,Do not take painkillers or herbal medicines without medical advice.,Do not skip antibiotics or stop treatment early.,,,,,
Cleft Lip And Palate,Do not delay surgical correction when advised.,Avoid improper feeding methods that may cause choking.,Do not skip speech therapy or dental follow-ups.,Avoid neglecting oral hygiene.,Do not ignore hearing or speech problems.,,,,,
Cushing's Syndrome,Do not stop steroids suddenly,Avoid self-medication,Avoid high-salt food,Do not skip tests,Do not ignore symptoms,,,,,
Diabetes,Do not skip medicines,Avoid sugary foods,Do not ignore symptoms,Avoid smoking and alcohol,Do not miss follow-ups,,,,,
Diarrhea,"Don’t eat the wrong foods, such as high-fibre foods, greasy, oily, or fried food.",Exercise strenuously: intense exercise can make your dehydration worse or even lead to greater distress in your gastrointestinal tract.,"Don't take beverages such as alcohol, coffee, berries, and too-hot or too-cold beverages",Don't take dairy products for some time.,,,,,,
Down Syndrome,Do not delay medical evaluations,Avoid neglecting developmental milestones,Do not skip therapy sessions,Avoid social isolation,Do not ignore associated health issues,,,,,
Diverticulosis,Avoid low-fiber junk food,Do not strain during bowel movements,Avoid constipation,Do not ignore abdominal pain,Do not skip follow-ups,,,,,
Dengue,Do not take aspirin/ibuprofen,Avoid mosquito bites,Do not ignore bleeding signs,Avoid strenuous activity,Do not delay hospital care,,,,,
Duchenne Muscular Dystrophy,Stay away from genetic counseling if DMD runs in the family history.,Avoid foods high in fluids and fiber,Avoid the medicines prescribed by the doctor.,Eat oily and foods containing saturated fats.,Stay sedentary with no physical activity.,,,,,
Diabetes Insipidus,Eating too much salty or junk food,Drinking sugary or fizzy drinks,Ignoring frequent thirst or urination,Skipping follow-up checkups,Don't take medicines without advice,,,,,
Diphtheria,Come in close contact with sick people.,Avoid any sudden changes and persisting symptoms in the body.,Skip the appointment scheduled with your doctor.,"Eat processed, junk and spicy foods.",Avoid washing your hands if you get into contact with an infected person.,,,,,
Dextrocardia Situs Inversus,"Eat junk, oily or deep fried foods.",Forget to take medications.,Forget to go for your routine checkups.,Ignore signs and symptoms.,Do smoke or consume alcohol.,Let your cholesterol levels increase,,,,
Diabetic Neuropathy,Do not ignore numbness or tingling,Avoid walking barefoot,Do not skip diabetes medicines,Avoid smoking and alcohol,Do not delay treatment of foot wounds,,,,,
Diabetic Retinopathy,Have inadequate sleep,Do smoking,Use screens for long hours,Forget to take diabetes medicines,Forget to exercise regularly,,,,,
Encephalitis,Pressurize your brain and take stress,Consume caffeine beverages,Take alcohol,Forget to take your medications on time.,Ignore worsening symptoms,,,,,
Emphysema,Smoke or use tobacco products,Ignore worsening symptoms,Skip medications,Delay doctor visits,Self-medicate without guidance,,,,,
Ear Infection,Do not insert objects into ear,Avoid water entry into ear,Do not stop medicines early,Avoid self-medication,Do not ignore ear discharge,,,,,
Epididymitis,Do not stop antibiotics early,Avoid sexual activity during treatment,Do not ignore scrotal pain or swelling,Avoid heavy lifting,Do not self-medicate,,,,,
Esophagitis,Bend over or lie down after eating,Wear tight clothes around your chest and stomach,Drink alcohol or drinks that have caffeine,Eat deep-fried and spicy foods,"Eat citrus fruits like oranges, lemons, and grapefruits that are acidic and can harm the
                              esophagus.",,,,,
Ectopic Pregnancy,Smoke and go to smoke-filled areas,Consume alcohol,Stand or move for extended periods of time,Lift heavy weights,Have sex,,,,,
Endocarditis,Smoke or use tobacco products.,Stop taking antibiotics or other medications without your doctor's approval.,"Share your items, such as toothbrushes or razors.",Ignore follow-up appointments with your doctor.,"Engage in activities that can cause injury to your heart valves, such as contact sports.",,,,,
Fibromyalgia,Do not overexert body,Avoid poor sleep habits,Do not ignore chronic pain,Avoid self-medication,Do not skip treatment,,,,,
Fungal Infection,Do not stop antifungal treatment early,Avoid scratching affected area,Do not share towels or clothes,Avoid tight or damp clothing,Do not self-medicate with steroid creams,,,,,
Folic Acid Deficiency,Do not skip supplements,Avoid poor diet,Do not ignore anemia symptoms,Avoid excess alcohol,Do not self-medicate,,,,,
Gastroenteritis,Do not ignore dehydration signs,Avoid street or contaminated food,Do not stop medicines early,Avoid alcohol and caffeine,Do not delay medical care,,,,,
Glaucoma,Lift more than 10 pounds,"Bend too much, lift or strain",Apply any face cream or eye makeup.,,,,,,,
Gastroesophageal Reflux Disease,Avoid spicy and fatty foods,Do not lie down immediately after meals,Avoid smoking and alcohol,Do not overeat,Do not skip medicines,,,,,
Gout,Put too much pressure on the affected foot,"Stay sedentary with the fear of pain, keep moving",Leave your gout symptoms untreated,"Take over-the-counter medications frequently, it can increase the flare-up",Take too much stress.,,,,,
Genital Herpes,Take too much stress,Touch the sores,Stop medication without completing the course.,Have sex during a herpes outbreak.,,,,,,
Gingivitis,Smoke and chew tobacco products.,Compromise with brushing your teeth regularly,Take much sugary foods and soda beverages.,Ignore the treatment if you are diabetic,Eat too hot or too cold food items.,,,,,
Gastrointestinal Disease,Avoid spicy and oily foods,Do not eat contaminated food,Do not ignore abdominal pain or vomiting,Avoid alcohol and smoking,Do not self-medicate,,,,,
Gastroparesis,Eat high starchy & greasy or fried foods,Drink soda drinks,Drink alcoholic beverages,Lay down immediately after eating food,Discontinue medicines without completing the dosage,,,,,
Gangrene,Do not ignore skin discoloration or numbness,Avoid delaying treatment,Do not self-medicate,Avoid smoking,Do not apply home remedies,,,,,
Genital Warts,Scratch your warts,Apply the medicine to warts that are bleeding.,Have multiple sex partners,Skip follow-up appointments,"Eat unhealthy junk, and processed foods.",,,,,
Graves Diseases,Forget to take your thyroid medications,Forget to visit your doctor when you notice changes in your body,Take much stress,Smoke or consume alcohol,Take dietary iodine or other iodine supplements without asking doctor,,,,,
Giardiasis,Swallow water if you go swimming,Eat improperly cooked or raw foods,Avoid taking medicines prescribed by the doctor,Drink unpasteurized milk.,Ignore proper sanitation and cleanliness.,,,,,
Glomerulonephritis,"Eat canned, and processed foods",Eat high sodium meats,Skip medications prescribed by the doctor,Smoke and drink alcohol,Discontinue the course of antibiotics without consulting the doctor,,,,,
Gonorrhea,Do not stop antibiotics early,Avoid unprotected sex,Do not ignore discharge or pain,Avoid self-medication,Do not delay treatment,,,,,
Goiter,Eat soybean-related foods,"Eat cruciferous vegetables, including broccoli, cabbage, and cauliflower",Do smoking or drinking alcohol,Self-medicate for the condition,Eat excess sugar & caffeinated beverages,,,,,
Gestational Diabetes,Take stress,Skip breakfast,"Eat foods like potatoes, french fries, white rice, candy, and other sweets.",Forget to take diabetes medicines on time.,Drink sweet drinks and soda beverages.,,,,,
Heart Attack,Do not ignore chest pain,Avoid physical exertion,Do not delay hospital care,Do not give food or drink,Do not leave patient alone,,,,,
Hypothyroidism,Do not skip medicines,Avoid self-medication,Do not ignore symptoms,Avoid excess soy or iodine, Do not miss follow-ups,,,,,
Herpes Zoster,Do not scratch blisters,Avoid contact with pregnant women/immunocompromised,Do not delay treatment,Avoid tight clothing over rash,Do not ignore severe pain,,,,,
Hepatitis C,Do not skip medicines,Avoid sharing needles or razors,Do not ignore fatigue or jaundice,Avoid self-medication,Do not miss follow-ups,,,,,
Hemophilia,Do not take aspirin or NSAIDs,Avoid contact sports,Do not ignore bleeding or bruising,Avoid intramuscular injections,Do not skip treatment,,,,,
Hepatitis A,Consume alcohol and indulge in smoking,Eat junk and processed foods,Wash hands irregularly,Avoid taking rest,Eat food from street vendors,,,,,
Head and Neck Cancer,"Smoke or use tobacco products, including cigarettes, cigars, and smokeless tobacco",Consume excessive alcohol,Inhale toxic fumes or gases.,Neglect dental care or skip regular dental check-ups.,,,,,,
High Cholesterol,Avoid fried and junk food,Do not skip medicines,Avoid smoking,Do not ignore high lipid reports,Avoid excess alcohol,,,,,
Hypercalcemia,Limit the salt intake,Self medicate for symptoms,Stop taking medications suddenly,Take antacids that contain calcium,Forget to seek medical assistance if your condition doesn’t improve,,,,,
Hashimoto Disease, Do not skip thyroid medicine,Avoid self-medication,Do not ignore fatigue or weight gain,Avoid excess iodine intake,Do not miss follow-ups,,,,,
Hepatitis B,Avoid alcohol completely,Do not skip medicines,Avoid sharing needles or razors,Do not ignore jaundice or fatigue,Do not miss follow-ups,,,,,
Hand Foot Mouth Disease,"Touch your eyes, nose, and mouth with unclean hands.",Skip taking fluids,Avoid taking precautions and medications prescribed by the doctor,Share drinking cups or eating utensils.,Use medicines without consulting the doctor,,,,,
Hyperthyroidism,Do smoking or drink alcohol,Consume too much sugar and caffeine,Eat foods containing excessive gluten,Avoid oily foods,Avoid self medication,,,,,
Hemochromatosis,Avoid iron supplements,Avoid vitamin C supplements,Do not consume alcohol,Do not skip blood tests,Do not ignore joint pain or fatigue,,,,,
Hay Fever,Smoke,Dry clothes outside as they can catch pollen,Self medicate if you suspect hay fever,Drink excessive alcohol,,,,,,
HIV AIDS,Have sexual intercourse without using protection.,Have multiple sexual partners,Use needles already used by others,Start medicines without consulting your doctor,Skip your scheduled doctor’s appointment,,,,,
Hepatitis E,"Eat raw meats, pork, or any animal products.",Eat unwashed fruits or vegetables.,Eat half-cooked food,Use water from any source even for brushing or face washing.,,,,,,
Hydronephrosis,Do not ignore flank pain or swelling,Avoid delaying treatment,Do not self-medicate,Avoid dehydration,Do not skip follow-ups,,,,,
Irritable Bowel Syndrome,Skip or delay meals,Eat too much food in a short time,"Consume greasy, spicy, or processed foods",Drink alcohol or carbonated beverages,Consume excessive caffeine,,,,,
Impetigo,Self medicate,Discontinue the medication in between,Touch the sores and rashes or scratch the skin,Be in the contact with a person having impetigo,Share your personal items with others,,,,,
Iron Deficiency Anaemia,Ignore anaemia signs and symptoms,Smoke,Take iron with antacids,Consume excess amounts of alcohol,Eat processed and junk foods,,,,,
Inflammatory Bowel Disease,"Drink caffeinated and carbonated drinks, such as coffee, pop, or energy drinks",Eat too many dairy products,Eat insoluble fibre,Eat fried foods,Consume excess sugar,,,,,
Influenza,Touch your face without washing or sanitizing your hands.,Cough or sneeze without covering your mouth.,Smoke and consume alcohol,Take medicines without consulting the doctor.,Drink less water,,,,,
Insomnia,,Take a long nap during the day.,"Drink too much coffee, tea or alcohol during bed time.",Eat heavy foods before sleeping.,Sleep after a bad night of sleep.,,,,,
Jaundice,Avoid alcohol completely,Do not eat oily or junk food,Do not ignore yellow eyes/skin,Avoid self-medication,Do not skip follow-ups,,,,,
Kidney Stones,Avoid dehydration,Do not ignore severe pain,Avoid excess salt intake,Do not delay treatment,Do not self-medicate,,,,,
Kidney Infection,Do not stop antibiotics early,Do not ignore fever or flank pain,Avoid dehydration,Do not self-medicate,Do not delay medical care,,,,,
Kidney Cancer,Smoke cigarettes.,Consume excessive amounts of salt.,Allow uncontrolled diabetes and high blood pressure.,Consume alcohol.,Skip exercise.,,,,,
Kidney Cysts,Consume excessive alcohol,Take over-the-counter pain relievers frequently.,"Ignore symptoms such as pain or discomfort, leg swelling, or changes in urine color or output.",Ignore follow-up appointments with your doctor,Smoke,,,,,
Klinefelter Syndrome,Avoid alcohol and substance abuse.,Avoid self-isolation or withdrawing from social activities.,Do not ignore or delay medical treatment.,Do not avoid seeking help for depression or other mental health issues.,Do not limit your potential or give up on personal goals due to Klinefelter Syndrome.,,,,,
Kawasaki Disease,Do not delay diagnosis or treatment,Do not stop aspirin without advice,Avoid missing heart check-ups,Do not ignore fever >5 days,Avoid live vaccines temporarily if advised,,,,,
Leprosy,Do not stop treatment early,Do not ignore skin patches or numbness,Avoid self-medication,Do not delay medical care,Do not miss follow-up visits,,,,,
Lupus,Avoid excessive sun exposure,Do not stop medicines suddenly,Avoid self-medication,Do not ignore flare symptoms,Do not miss follow-ups,,,,,
Leukaemia,Do not skip treatment sessions,Avoid exposure to infections,Do not self-medicate,Do not ignore fever or bleeding,Do not miss follow-up visits,,,,,
Lichen Sclerosus,Wear tights and other tight clothing.,Take too much stress,Stay in swimsuits or wet clothing for long periods of time.,Touch the sores,Avoid the changes and symptoms in the body,,,,,
Liver Disease,Drink alcohol and smoke,Increase salt intake in your food,Eat too much processed or junk foods.,Skip taking liver medicines,Forget to consult your doctor.,,,,,
Liver Cancer,Avoid alcohol completely,Do not delay treatment,Do not skip medicines,Avoid self-medication,Do not miss follow-ups,,,,,
Labyrinthitis,Do not ignore severe dizziness,Avoid sudden head movements,Avoid driving during vertigo,Do not stop medicines early,Do not self-medicate,,,,,
Lyme,Wait to notice symptoms after black-legged tick bites.,Self medicate for any rashes or infections.,Stop taking medications suddenly.,Visit grasslands without wearing boots or shoes,Forget to seek medical assistance if your condition does not get better.,Touch or scratch the bitten area.,,,,
Leishmaniasis,Ignore Leishmaniasis's symptoms.,"Ignore the need for preventive measures such as insect repellent, protective clothing, and screens.",Travel to Leishmaniasis infected regions.,Avoid taking preventive measures for your pets.,Avoid wearing full body covered clothes.,,,,,
Left Main Coronary Artery Disease,Do not ignore chest pain,Avoid physical exertion,Do not skip heart medicines,Avoid smoking and alcohol,Do not delay surgery/intervention,,,,,
Lewy Body Dementia,Overwhelm the person with too much information.,Involve sudden changes to their routine or environment.,Physically restraining or forcibly correcting the person if they display agitated or aggressive behavior,Ignore the need for proper sleep.,"Neglect self-care, as caring for someone with Lewy body dementia can be physically and emotionally draining.",,,,,
Lactose Intolerance,Consume large amounts of dairy products,Assume all dairy products are off-limits,Ignore your symptoms,Confuse milk allergy with lactose intolerance,Neglect your nutrient intake,,,,,
Meningitis,"Don't ignore the symptoms: Meningitis can progress rapidly, so it's crucial to seek help promptly. If you suspect meningitis, seek immediate medical attention.","Don't come in close contact with a person diagnosed with meningitis: The disease can be contagious, and close contact could put you at risk.",Don't skip vaccinations: They are a crucial preventive measure against various types of meningitis.,,,,,,,
Measles,Do not ignore high fever or rash,Avoid contact with others,Do not skip medicines,Avoid bright light if eyes are sensitive,Do not delay medical care,,,,,
Myocardial Infarction,Ignore heart attack symptoms,Wait for someone to arrive to take you to the hospital,Wait to see if the symptoms disappear on their own,Take public transport to go to the hospital,Kill time in getting ready for the hospital,Panic and get stressed,,,,
Multiple Sclerosis,Include lots of saturated fat in your diet.,Smoke.,Discontinue medicines without completing the course.,Be hard on the circumstances.,Eat too many sugary foods and drinks.,,,,,
Myocarditis,"Eat fried, oily pr outside food.",Wait for your symptoms to get worse.,Eat foods that are not good for your heart.,Come in close contact with a person who has flu or cold.,Forget to seek regular doctor consultation.,,,,,
Malaria,Travel to areas with a malaria outbreak.,Ignore the symptoms indicating malaria.,"Eat fatty, spicy foods during malaria.",Eat high fibre foods and caffeinated drinks during malaria.,,,,,,
Menieres,"Take coffee, tea, soda, energy drinks, chocolate, and diet pills",Eat food containing MSG,Avoid early signs and symptoms of the condition,Avoid taking medicines given by doctors,,,,,,
Multiple Myeloma,"Eat unwashed fruits and vegetables,",Smoke and drink alcohol.,Ignore constant fatigue and take stress,Ignore scheduled therapies and treatments,,,,,,
Muscular Dystrophy,Eat junk foods,Avoid taking medicines as prescribed by the doctor,"Rush a meal, allowing time to eat","Drink sugar-sweetened beverages, like carbonated drinks, coffee, and alcohol.",Stay sedentary with no physical activity,,,,,
Metabolic Syndrome,Be obese,Be physically inactive,Drink excess alcohol andsmoke.,Eat processed foods and meats.,Ignore the instructions given by the doctor.,,,,,
Monkeypox Disease,Share bedding or towels with people who have monkeypox.,Have close contact with people who may have monkeypox.,Approach stray animals including those that appear sick.,"Touch your face, nose and eyes with unwashed or unclean hands",No need to clean or disinfect frequently touched surfaces,,,,,
Myasthenia Gravis,Do not skip medicines,Avoid overexertion,Do not ignore breathing difficulty,Avoid self-medication,Do not miss follow-ups,,,,,
Mumps,"Do outside activities, e.g going to job, school, etc.","Share cups, glasses or utensils among family members.",Take medicines without consulting the doctor.,Eat sour foods like citrus fruits,Eat hard foods that need more chewing.,,,,,
Myositis,Avoid strenuous exercise,Do not stop medicines suddenly,Do not ignore muscle pain,Avoid self-medication,Do not skip follow-ups,,,,,
Nasal Cancer,Smoke and inhale harmful fumes,Discontinue or modify treatment without consulting your healthcare provider.,Engage in activities that may cause nasal trauma,Ignore or neglect persistent symptoms,,,,,,
